,ydstogo,yardline_100,play_type,half_seconds_remaining,score_differential,fg_prob,td_prob
38931,12,65.0,2,79.0,0.0,0.14503652270277845,0.10154277400718904
38933,6,73.0,2,1642.0,7.0,0.1801518685164464,0.2766811799238076
38934,3,55.0,2,1526.0,7.0,0.2792770530082133,0.3835822217354857
38935,4,42.0,2,1411.0,7.0,0.3693630330935324,0.3890109675956112
38938,1,19.0,2,900.0,-10.0,0.44340907186940703,0.4602270804324712
38939,2,62.0,2,676.0,3.0,0.2134864105813558,0.36818508143433787
38940,7,50.0,2,548.0,3.0,0.2954779423269418,0.3162528895681417
38942,10,24.0,2,98.0,-3.0,0.4603600790596064,0.17840540188858986
38943,10,61.0,2,13.0,-4.0,0.13916158775862614,0.09578450952522252
38944,4,60.0,2,1754.0,0.0,0.25241027998519683,0.3477606109152307
38945,1,34.0,1,1554.0,0.0,0.3704097621166191,0.4759615610635667
38946,1,24.0,1,1455.0,0.0,0.4236830126344795,0.4677328437733582
38947,5,15.0,2,1016.0,-7.0,0.5395805194882161,0.3591496855930175
38950,12,82.0,2,714.0,0.0,0.1275776450773585,0.1963190098178342
38951,2,85.0,2,534.0,0.0,0.09815485954888327,0.2425328032127872
38952,4,33.0,2,204.0,0.0,0.3220412437832133,0.3053100022862017
38953,5,62.0,2,120.0,-7.0,0.12800268340101206,0.18069931551745164
38958,10,87.0,2,814.0,-11.0,0.1096091934539632,0.1896874905410586
38961,8,85.0,2,424.0,-4.0,0.09250412171552172,0.165394686633532
38964,10,75.0,1,80.0,-8.0,0.10000175741434934,0.08530297365062668
38968,1,13.0,1,537.0,14.0,0.4577682660971208,0.4374854561041818
38969,2,66.0,2,380.0,-21.0,0.1574719805436687,0.29132198297769785
38971,3,63.0,2,107.0,21.0,0.15536490093328734,0.1460818668994909
38972,8,71.0,2,1664.0,-14.0,0.19319736215910194,0.26866418195167424
38976,5,71.0,2,1013.0,18.0,0.18877519194629194,0.2986745697262314
38977,2,62.0,1,753.0,18.0,0.21858132088628973,0.3761560702202593
38979,1,28.0,2,382.0,-18.0,0.35523154550951763,0.4299689836618564
38980,7,41.0,2,329.0,11.0,0.3152840787638275,0.2954333026751903
38982,6,69.0,2,1702.0,0.0,0.2026116464757086,0.2920216879889474
38984,3,68.0,2,1275.0,-7.0,0.20260226000110784,0.3426255834238121
38985,7,42.0,2,859.0,7.0,0.37665120701301497,0.3531299292003252
38986,1,57.0,1,636.0,-14.0,0.2246495865786539,0.4227078963617115
38989,1,49.0,1,51.0,17.0,0.19927401624596386,0.19578817241751914
38990,8,73.0,2,1682.0,17.0,0.18160871109256368,0.2603477196715964
38992,4,71.0,2,1350.0,-17.0,0.1890467726627424,0.3122741619071383
38993,4,27.0,1,1087.0,17.0,0.4615966518851394,0.3890600859850611
38994,3,4.0,2,990.0,17.0,0.5735932780286044,0.3635388559210124
38996,4,67.0,2,635.0,-24.0,0.19170264617046184,0.3037211789540473
39002,4,31.0,2,1005.0,0.0,0.4356354449238099,0.3915040137279678
39005,6,69.0,2,394.0,4.0,0.1547245535739895,0.23136273878332336
39008,1,76.0,1,22.0,1.0,0.07297506961293207,0.10893041280611368
39013,4,44.0,2,1006.0,3.0,0.3526877110825273,0.3875040428002205
39022,6,73.0,2,1225.0,0.0,0.1810296272637443,0.2813106376636749
39023,2,58.0,2,1116.0,0.0,0.2519807165729134,0.4034870437993653
39024,8,32.0,2,721.0,-7.0,0.4415169808373665,0.34500380648951745
39029,10,65.0,2,27.0,0.0,0.12521578821486326,0.09164755413704533
39031,1,50.0,1,1695.0,3.0,0.2824855098617,0.46301011820678895
39032,3,42.0,2,1604.0,3.0,0.3609777753712187,0.4046368383843381
39036,5,61.0,2,1006.0,0.0,0.2477569080826636,0.3359094621452987
39038,11,48.0,1,370.0,0.0,0.28454155184112945,0.2667815036411777
39040,7,65.0,2,129.0,-3.0,0.11948421361226652,0.16317501256508551
39042,5,37.0,2,1717.0,0.0,0.4086554031434758,0.3747345057388699
39043,8,17.0,1,1460.0,0.0,0.5513019065332746,0.334596928655455
39047,4,51.0,2,618.0,-6.0,0.2861631399745413,0.3541934769458791
39052,6,56.0,2,86.0,-6.0,0.19309101894899766,0.1384653839954704
39054,1,70.0,1,1659.0,-3.0,0.17872263446350525,0.3994832508814871
39057,3,73.0,2,1214.0,-3.0,0.17568945674275058,0.3215420742891108
39058,8,41.0,2,957.0,-3.0,0.3905853073996126,0.3484469509813171
39064,1,72.0,1,1724.0,0.0,0.16912188704897702,0.38918225277837176
39066,1,62.0,1,1606.0,0.0,0.21854751441197973,0.4323133213804128
39067,1,51.0,1,1489.0,0.0,0.2770788805946128,0.4639052058393997
39068,1,25.0,1,1306.0,0.0,0.4176261203608828,0.4701965699835863
39069,6,15.0,2,1206.0,0.0,0.5496276698427995,0.3485871261972121
39070,1,70.0,1,823.0,0.0,0.1715783006499576,0.3926423308737677
39072,1,73.0,1,393.0,0.0,0.123112911160533,0.2987002491153524
39073,2,7.0,1,78.0,0.0,0.5399663363210268,0.2352086326850593
39076,4,32.0,2,1131.0,0.0,0.4314452943505477,0.3923858108215109
39077,1,3.0,1,990.0,0.0,0.5242761972322678,0.4238382189843321
39084,3,70.0,2,1187.0,-7.0,0.19134236267686894,0.33457266501965577
39087,2,5.0,2,1620.0,-10.0,0.5541044825084218,0.3855142727469775
39088,3,13.0,1,1467.0,3.0,0.5317700114793675,0.3821817529001497
39094,8,77.0,2,1748.0,0.0,0.15945566821434398,0.2427210923442189
39096,1,81.0,1,1448.0,7.0,0.13075366107789702,0.3485040983711028
39097,12,82.0,2,1382.0,7.0,0.1370700832513176,0.20699870790804886
39101,2,2.0,2,506.0,7.0,0.3015093139878613,0.6331840314963156
39103,4,64.0,2,112.0,-17.0,0.15441649751283634,0.1377701977330637
39104,3,46.0,1,79.0,-17.0,0.2473240086303425,0.17894095441683686
39107,8,18.0,2,1451.0,-20.0,0.5454102559280656,0.33626368966784786
39109,3,53.0,2,1073.0,17.0,0.28961541526075524,0.3906177494551512
39113,1,54.0,1,237.0,20.0,0.17847235369351105,0.32421914932817514
39116,2,63.0,2,1439.0,-7.0,0.22506566456843893,0.38582977716355216
39119,2,38.0,1,1070.0,-7.0,0.3696882560707143,0.4350861436946424
39123,4,87.0,2,592.0,-14.0,0.0976454096981648,0.21101292194602028
39125,1,37.0,1,265.0,14.0,0.27828312522740617,0.3883920658099082
39127,10,47.0,2,9.0,-21.0,0.2200597774889284,0.12200175937649173
39131,12,64.0,2,1009.0,-11.0,0.2390259759381672,0.2761669591787992
39132,6,71.0,2,699.0,-7.0,0.17844846723966942,0.2728653853545326
39133,1,6.0,1,323.0,7.0,0.4723966720093054,0.407605579646743
39134,12,33.0,2,107.0,-14.0,0.3911481281413812,0.16684571908422435
39140,7,87.0,2,1249.0,-6.0,0.1139908484348711,0.21195332448211
39141,16,54.0,2,1030.0,-6.0,0.3129921918659273,0.2893517753953814
39143,10,21.0,2,680.0,-3.0,0.5191352839578467,0.3250647443922501
39146,1,75.0,1,1714.0,-1.0,0.15551781865576722,0.37497152205868856
39148,11,68.0,2,1487.0,1.0,0.21441445245792132,0.2653990576697217
39150,4,54.0,2,1093.0,-4.0,0.2896672135350173,0.3705651132918372
39153,9,85.0,2,677.0,1.0,0.11217234639292148,0.1936882988174701
