,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,pass_length,score_differential,fg_prob,td_prob,ep,third_down_converted
32026,1,0,9,51.0,633.0,2,18.0,0.30355048413644514,0.31024302174564194,1.5178642777955804,0.0
32027,1,0,15,33.0,340.0,2,10.0,0.3949852168438889,0.27321814039589826,2.241011890656301,0.0
32029,1,0,2,62.0,157.0,2,-13.0,0.13020462495248286,0.2278580784394828,0.9869857099534602,1.0
32030,1,0,8,17.0,93.0,2,-13.0,0.5114266804491752,0.1874936954045361,2.678816390469085,0.0
32031,1,0,4,74.0,1494.0,2,-7.0,0.17271318857130002,0.2976290765677935,-0.1873444940267688,0.0
32032,1,0,3,83.0,1391.0,2,7.0,0.1285213837840604,0.2731788044618396,-0.8238095382659556,0.0
32033,1,0,7,74.0,1338.0,2,-7.0,0.17661083458289642,0.2679260301541654,-0.5000559121531691,1.0
32034,0,0,3,44.0,1219.0,1,-7.0,0.3475155343203048,0.406155439514372,2.6206539555473065,1.0
32035,1,0,4,75.0,1070.0,2,7.0,0.1665942138544382,0.2950565068630693,-0.1487190420812805,1.0
32036,1,0,14,26.0,580.0,1,-10.0,0.488319598402603,0.30602690157236306,2.8379852827500684,0.0
32037,1,0,11,55.0,448.0,2,10.0,0.2526690834433332,0.2633956885573137,1.0309116469210071,1.0
32038,1,0,12,72.0,213.0,2,-17.0,0.1116421532651178,0.14927795941008,-0.17046998960421722,0.0
32039,1,0,10,66.0,110.0,1,17.0,0.150159485319417,0.11135623950804986,0.6908332415505194,0.0
32040,1,0,2,41.0,1526.0,2,24.0,0.3546871663527833,0.43167368143752394,2.9632816219252867,1.0
32041,1,0,6,40.0,1334.0,2,-31.0,0.3941204016513246,0.3665755875356821,2.502722116482584,1.0
32042,1,0,2,11.0,912.0,2,-31.0,0.5176239499902143,0.4030883135562642,4.011083619130527,0.0
32043,1,0,5,83.0,853.0,2,31.0,0.125819064966822,0.2407275659227593,-0.9335720215005858,0.0
32044,1,0,7,17.0,498.0,1,31.0,0.5137773077721245,0.3306171860973208,3.356562735924542,0.0
32045,1,0,16,69.0,120.0,1,-41.0,0.10528359061085688,0.1259177452748405,-0.078215306412586,1.0
32047,1,0,1,38.0,1481.0,2,-7.0,0.3483712462608524,0.4771783845409413,3.4734497657830405,1.0
32048,1,0,3,12.0,1354.0,2,-7.0,0.5365046830780098,0.3808782899943508,3.8536896160357035,0.0
32049,1,0,3,73.0,1262.0,2,7.0,0.1758467286233086,0.3213955452333219,0.17419362305793662,1.0
32051,0,0,4,59.0,779.0,2,14.0,0.2485585032393205,0.34657882558577163,1.3509452406383544,0.0
32053,1,0,20,64.0,273.0,2,17.0,0.16520968545575118,0.17277838233732146,0.08902161920647722,0.0
32054,1,0,1,81.0,180.0,2,-17.0,0.0674509102936463,0.1863101573971656,0.2608268831053251,1.0
32056,1,0,7,77.0,1756.0,2,17.0,0.15888888822381014,0.24953182500470325,-0.9180079453632444,1.0
