,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,down,score_differential,fg_prob,td_prob,ep,third_down_converted
1083,1,0,9,69.0,pass,1111.0,3.0,-20.0,0.20635507380596912,0.2748536485215347,-0.1069576211826646,0.0
1084,1,1,16,44.0,pass,256.0,3.0,-13.0,0.2879222178725908,0.2330684779105483,1.4379027760144203,0.0
1085,0,0,10,70.0,pass,1123.0,3.0,0.0,0.20120376241888052,0.2654054361294871,-0.2701851783581093,0.0
1086,1,0,6,43.0,pass,1602.0,3.0,0.0,0.3737656334903343,0.3614113667318352,2.2512425591401195,1.0
1087,1,0,5,70.0,pass,864.0,3.0,0.0,0.19058439716467146,0.2981584875726265,0.2345785115065835,0.0
1088,1,0,12,20.0,pass,564.0,3.0,4.0,0.5220431165696116,0.30934580918550136,3.122694603160141,0.0
1089,1,1,16,40.0,pass,363.0,3.0,-3.0,0.34872155653010833,0.2645590842815298,1.8316394319774525,1.0
1090,1,0,3,57.0,pass,965.0,3.0,9.0,0.2629531394195893,0.3784298242818138,1.6881869257194184,1.0
1091,1,0,4,73.0,pass,1293.0,3.0,-3.0,0.1782391995309821,0.3041550380200719,-0.02778953839955589,0.0
1092,1,0,7,41.0,pass,271.0,3.0,10.0,0.29924867861977994,0.2808655012916064,1.956912553264814,1.0
1093,0,0,13,73.0,pass,1405.0,3.0,-7.0,0.18532003081620346,0.2388076995036092,-0.8047115208352829,0.0
1094,1,0,3,37.0,pass,382.0,3.0,3.0,0.3341603966668759,0.35884038022295184,2.711788677784926,1.0
1095,1,0,6,70.0,pass,900.0,3.0,0.0,0.19332608767946546,0.2894380809380199,0.11187996897106696,1.0
1096,0,0,8,81.0,pass,76.0,3.0,22.0,0.07771912883470758,0.07667438587085759,0.19816262441306776,1.0
1097,1,0,5,92.0,pass,1269.0,3.0,7.0,0.09442995862000456,0.2052267181477574,-1.893825017488464,1.0
1098,1,0,9,50.0,pass,979.0,3.0,-3.0,0.33068625668641266,0.3295679364856183,1.621607686061502,1.0
1099,1,0,6,46.0,pass,461.0,3.0,-3.0,0.30594777298427284,0.31998913313325,1.9673963490034208,0.0
1100,1,1,10,54.0,pass,355.0,3.0,-14.0,0.2387045619866924,0.25124150710933096,1.0807271754551613,0.0
1101,1,0,3,73.0,pass,1030.0,3.0,1.0,0.17404455632317856,0.3201850083229366,0.2420146746565073,0.0
1102,1,0,12,75.0,pass,529.0,3.0,-14.0,0.1470473018005774,0.2041295197133254,-0.560749219740784,0.0
1103,0,0,2,48.0,pass,940.0,3.0,-7.0,0.3072764282897093,0.4236427860897681,2.596986015519501,0.0
1104,1,0,2,47.0,pass,1645.0,3.0,0.0,0.31852378993487857,0.42391936551103343,2.5617012895301574,0.0
1105,1,0,9,61.0,pass,1647.0,3.0,0.0,0.25728015242958663,0.2982832835577632,0.4985627180335843,0.0
1106,1,0,5,55.0,pass,510.0,3.0,-8.0,0.2512542936988906,0.31483682936965524,1.457969303946227,0.0
1107,1,0,12,53.0,pass,572.0,3.0,15.0,0.28719361701814705,0.28339018656657017,1.1966962346842434,0.0
1108,0,0,4,83.0,pass,1650.0,3.0,0.0,0.1287441286997101,0.2538628554714395,-1.095055905227084,0.0
