,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,run_location,score_differential,fg_prob,td_prob,ep,third_down_converted
17739,1,0,11,68.0,1561.0,1,0.0,0.2140664497221612,0.26441717658503777,-0.2713876850315675,0.0
17740,0,0,1,38.0,1462.0,3,0.0,0.348320761207579,0.4773643661441854,3.4763490787420803,1.0
17744,1,0,10,78.0,802.0,3,-13.0,0.1500006828616679,0.2259453577956633,-0.8769501854537718,0.0
17748,0,0,1,77.0,294.0,3,-13.0,0.09499706238425867,0.2458718891325773,0.5447638984125078,0.0
17749,1,0,7,37.0,71.0,3,13.0,0.3255938385830311,0.16791740706023306,1.8729179973527543,0.0
17751,1,0,8,90.0,1751.0,1,-9.0,0.10067114713476147,0.1873359097484382,-2.1468671828193044,0.0
17757,1,0,9,17.0,455.0,1,9.0,0.5174664231705535,0.31422752843968793,3.2439132486296005,0.0
17759,1,0,8,78.0,120.0,1,18.0,0.07298968768230861,0.1181237183205617,-0.2651121126499945,0.0
17764,0,0,1,18.0,982.0,2,0.0,0.45027856977718816,0.4591267651950529,4.136193824752819,1.0
17771,1,0,5,27.0,1247.0,1,-7.0,0.4717917354595818,0.3755931535247352,3.2631204952561124,1.0
17772,0,0,21,31.0,1108.0,2,-7.0,0.4919158803799419,0.2982491459412417,2.501929224647113,0.0
17779,1,0,5,16.0,157.0,2,3.0,0.4342442498373637,0.3007214031947493,3.0260989043101048,0.0
17792,1,0,19,29.0,111.0,2,3.0,0.4386245120217645,0.15781293643053376,2.149593132500745,0.0
17794,1,0,25,65.0,1678.0,1,0.0,0.23845530423097505,0.23098022799095605,-0.4958891644997332,0.0
17799,1,0,1,63.0,792.0,2,-10.0,0.20393817001712464,0.41919144275821946,1.8747239177041028,1.0
